0.45018193,0.19928473,0.22777842
0.47919354,0.19324344,0.1884204
0.7562962,0.19498312,0.14558797
0.65471286,0.11606525,0.22003518
0.52532905,0.7301506,0.3934439
0.637061,0.27801007,0.10171079
0.69359285,0.43146107,0.32090104
0.6835129,0.38127986,0.30927026
0.6702642,0.6404425,0.26415312
0.46122444,0.15329267,0.15717211
0.6679062,0.74193746,0.35276124
0.57762694,0.68974054,0.29354
0.6593841,0.78368455,0.2672559
0.6555487,0.7391919,0.40936962
0.76162577,0.31974608,0.3615284
0.78383243,0.32680517,0.3653127
0.760132,0.27822948,0.3346534
0.664678,0.19159803,0.16875936
0.46691656,0.5868383,0.1071849
0.63471377,0.7348355,0.2878869
